trial location step1Picture angle1 angle3 scaleShift block numberResponse letterResponse
1 0 0 180 150 1 0 180 correct 
2 1 0 180 210 3 0 040 false 
3 2 0 180 150 2 0 306 correct 
4 0 1 180 210 4 0 139 false 
5 1 1 180 150 1 0 227 correct 
6 2 1 180 210 2 0 307 false 
7 0 2 180 150 1 0 173 false 
8 1 2 180 210 4 0 126 false 
9 2 2 180 150 3 0 011 correct 
10 1 2 180 150 1 1 215 correct 
11 1 1 180 150 2 1 227 correct 
12 1 1 180 210 3 1 045 false 
13 1 1 180 210 4 1 139 correct 
14 0 0 180 150 4 1 083 correct 
15 1 0 180 150 3 1 044 false 
16 1 1 180 210 2 1 327 correct 
17 2 0 180 210 4 1 118 correct 
18 2 0 180 150 1 1 207 correct 
19 1 0 180 150 1 1 229 correct 
20 0 2 180 150 1 1 174 correct 
21 0 2 180 210 1 1 174 correct 
22 2 0 180 150 1 1 207 correct 
23 2 1 180 210 4 1 118 false 
24 0 1 180 210 3 1 343 correct 
25 2 0 180 210 3 1 025 correct 
26 0 1 180 150 2 1 265 correct 
27 2 1 180 210 1 1 209 false 
28 2 1 180 150 1 1 209 false 
29 0 1 180 210 2 1 266 correct 
30 1 0 180 210 1 1 229 false 
31 0 1 180 210 2 1 263 false 
32 0 0 180 210 4 1 077 correct 
33 0 0 180 210 3 1 342 correct 
34 1 2 180 150 2 1 315 correct 
35 2 2 180 150 2 1 293 correct 
36 1 2 180 210 2 1 315 false 
