trial location step1Picture angle1 angle3 scaleShift block numberResponse letterResponse
1 0 0 180 150 1 0 149 correct 
2 1 0 180 210 3 0 042 correct 
3 2 0 180 150 2 0 295 correct 
4 0 1 180 210 4 0 017 correct 
5 1 1 180 150 1 0 225 correct 
6 2 1 180 210 2 0 297 correct 
7 0 2 180 150 1 0 172 correct 
8 1 2 180 210 4 0 130 correct 
9 2 2 180 150 3 0 015 correct 
10 1 2 180 150 1 1 220 correct 
11 1 1 180 150 2 1 323 correct 
12 1 1 180 210 3 1 039 correct 
13 1 1 180 210 4 1 135 correct 
14 0 0 180 150 4 1 084 correct 
15 1 0 180 150 3 1 042 correct 
16 1 1 180 210 2 1 322 correct 
17 2 0 180 210 4 1 120 correct 
18 2 0 180 150 1 1 207 correct 
19 1 0 180 150 1 1 225 correct 
20 0 2 180 150 1 1 175 correct 
21 0 2 180 210 1 1 175 correct 
22 2 0 180 150 1 1 205 correct 
23 2 1 180 210 4 1 117 correct 
24 0 1 180 210 3 1 003 correct 
25 2 0 180 210 3 1 023 correct 
26 0 1 180 150 2 1 276 correct 
27 2 1 180 210 1 1 205 correct 
28 2 1 180 150 1 1 207 correct 
29 0 1 180 210 2 1 273 correct 
30 1 0 180 210 1 1 227 false 
31 0 1 180 210 2 1 272 correct 
32 0 0 180 210 4 1 085 correct 
33 0 0 180 210 3 1 245 correct 
34 1 2 180 150 2 1 323 correct 
35 2 2 180 150 2 1 302 correct 
36 1 2 180 210 2 1 321 correct 
37 2 2 180 210 1 2 206 correct 
38 0 0 180 150 1 2 177 correct 
39 0 2 180 210 1 2 127 correct 
40 0 1 180 210 2 2 279 correct 
41 0 0 180 150 2 2 276 correct 
42 0 1 180 150 2 2 274 correct 
43 0 2 180 210 1 2 177 correct 
44 1 0 180 150 4 2 137 correct 
45 0 1 180 210 3 2 375 correct 
46 2 1 180 210 2 2 302 correct 
47 0 2 180 210 1 2 175 correct 
48 1 0 180 150 3 2 045 correct 
49 1 1 180 150 1 2 227 correct 
50 0 2 180 150 3 2 360 correct 
51 2 2 180 150 2 2 303 correct 
52 2 0 180 210 1 2 205 correct 
53 2 1 180 210 1 2 205 correct 
54 2 2 180 150 1 2 203 correct 
55 2 1 180 210 2 2 302 correct 
56 1 0 180 210 1 2 230 correct 
57 1 2 180 210 3 2 042 correct 
58 2 1 180 210 3 2 022 correct 
59 1 0 180 150 3 2 044 correct 
60 1 2 180 150 3 2 045 correct 
61 0 0 180 150 4 2 087 correct 
62 0 2 180 210 4 2 087 correct 
63 1 1 180 150 3 2 045 correct 
64 0 0 180 210 4 3 092 correct 
65 1 2 180 210 4 3 140 correct 
66 0 1 180 150 1 3 180 correct 
67 2 2 180 150 2 3 202 correct 
68 2 1 180 210 2 3 305 correct 
69 0 1 180 150 3 3 003 correct 
70 1 0 180 150 3 3 040 correct 
71 1 0 180 210 2 3 325 correct 
72 0 2 180 150 2 3 280 correct 
73 2 0 180 210 2 3 300 correct 
74 1 2 180 210 3 3 040 correct 
75 2 2 180 150 3 3 010 correct 
76 1 2 180 150 2 3 327 correct 
77 2 2 180 210 1 3 187 correct 
78 1 0 180 150 3 3 037 correct 
79 2 0 180 210 2 3 293 correct 
80 1 0 180 210 1 3 230 correct 
81 2 2 180 150 3 3 004 correct 
82 0 0 180 150 3 3 349 correct 
83 2 0 180 150 1 3 200 correct 
84 0 0 180 210 3 3 349 correct 
85 2 0 180 150 3 3 016 correct 
86 1 1 180 210 4 3 140 correct 
87 1 1 180 150 3 3 045 correct 
88 0 1 180 150 1 3 177 correct 
89 1 2 180 210 4 3 134 correct 
90 2 1 180 210 2 3 300 correct 
91 2 1 180 150 1 4 202 correct 
92 1 0 180 210 3 4 045 correct 
93 2 0 180 210 1 4 203 correct 
94 1 1 180 150 1 4 226 correct 
95 2 1 180 150 4 4 113 correct 
96 0 2 180 150 2 4 272 correct 
97 1 2 180 150 4 4 132 correct 
98 0 0 180 150 3 4 349 false 
99 2 2 180 150 4 4 110 correct 
100 2 2 180 150 4 4 113 correct 
101 2 1 180 150 2 4 300 correct 
102 0 2 180 150 4 4 085 correct 
103 2 0 180 210 4 4 110 correct 
104 0 2 180 210 1 4 175 correct 
105 0 1 180 150 4 4 085 correct 
106 1 1 180 210 2 4 325 correct 
107 0 0 180 210 4 4 078 correct 
108 0 1 180 210 4 4 085 correct 
109 0 2 180 210 2 4 273 correct 
110 1 2 180 150 4 4 137 correct 
111 1 2 180 210 3 4 043 correct 
112 0 0 180 210 4 4 085 correct 
113 2 0 180 150 4 4 114 false 
114 2 2 180 210 4 4 115 correct 
115 2 2 180 210 3 4 018 correct 
116 1 1 180 150 2 4 325 correct 
117 1 1 180 150 4 4 138 false 
